State School ID,NCES District ID,State District ID,NCES DistrictID2,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Reduced Lunch*
01490533,2506660,149,2506660,09,12,"""""""MATH, SCIENCE & TECHNOLOGY HIGH SCHOOL""""""",LAWRENCE,ESSEX COUNTY,70-71 NORTH PARISH RD,LAWRENCE,MA,01843,,9789460719,21,Suburb: Large,No,Ð,Yes,Yes,511.00000,31.98000,16.0000000,379.00000,39.00000,26.00000
01700045,2507320,170,2507320,05,08,1 LT CHARLES W. WHITCOMB SCHOOL,MARLBOROUGH,MIDDLESEX COUNTY,25 UNION STREET,MARLBOROUGH,MA,01752,,5084603502,21,Suburb: Large,No,Ð,Yes,No,1365.00000,100.14000,13.6000000,505.00000,113.00000,19.00000
01630016,2507110,163,2507110,KG,05,A DREWICZ ELEMENTARY,LYNN,ESSEX COUNTY,34 HOOD STREET,LYNN,MA,01905,2330,7814777350,21,Suburb: Large,No,Ð,Yes,Yes,426.00000,35.03000,12.2000000,343.00000,38.00000,25.00000
02070005,2508610,207,2508610,KG,05,A E ANGIER,NEWTON,MIDDLESEX COUNTY,1697 BEACON STREET,WABAN,MA,02468,1314,6175599300,13,City: Small,No,Ð,No, ,393.00000,19.81000,19.8000000,19.00000,2.00000,2.00000
06220015,2502715,622,2502715,04,05,A F MALONEY,BLACKSTONE-MILLVILLE,WORCESTER COUNTY,200 LINCOLN STREET,BLACKSTONE,MA,01504,1200,5088760119,21,Suburb: Large,No,Ð,Yes,No,230.00000,16.44000,14.0000000,52.00000,12.00000,7.00000
02480003,2510050,248,2510050,KG,05,A. C. WHELAN ELEMENTARY SCHOOL,REVERE,SUFFOLK COUNTY,107 NEWHALL STREET,REVERE,MA,02151,2326,7813887510,21,Suburb: Large,No,Ð,Yes,Yes,746.00000,47.46000,15.7000000,410.00000,77.00000,41.00000
00160001,2502190,16,2502190,KG,04,A. IRVIN STUDLEY ELEMENTARY SCHOOL,ATTLEBORO,BRISTOL COUNTY,299 RATHBUN WILLARD DRIVE,ATTLEBORO,MA,02703,2710,5082222621,21,Suburb: Large,No,Ð,Yes,Yes,427.00000,28.69000,14.9000000,159.00000,24.00000,48.00000
03260004,2512660,326,2512660,03,05,ABBOT ELEMENTARY,WESTFORD,MIDDLESEX COUNTY,25 DEPOT STREET,WESTFORD,MA,01886,2698,9786925580,21,Suburb: Large,No,Ð,No, ,430.00000,27.59000,15.6000000,16.00000,2.00000,7.00000
00980005,2504920,98,2504920,PK,08,ABBOTT MEMORIAL,FLORIDA,BERKSHIRE COUNTY,56 NORTH COUNTY RD,FLORIDA,MA,01247,9614,4136646023,41,Rural: Fringe,No,Ð,Yes,No,104.00000,11.43000,9.1000000,34.00000,5.00000,176.00000
04450105,2500051,445,2500051,KG,12,ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),WORCESTER COUNTY,10 NEW BOND STREET,WORCESTER,MA,01606,,5088548400,12,City: Midsize,Yes,Ð,Yes,Yes,1426.00000,111.90000,12.7000000,635.00000,230.00000,196.00000
