NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
250666002618,1490533,2506660,149,9,12,"""""MATH, SCIENCE & TECHNOLOGY HIGH SCHOOL""""",LAWRENCE,ESSEX COUNTY,70-71 NORTH PARISH RD,LAWRENCE,MA,1843,,9789460719,21,Suburb: Large,No,ñ,Yes,Yes,511.0,31.98,16.0,379.0,39.0
250732002639,1700045,2507320,170,5,8,1 LT CHARLES W. WHITCOMB SCHOOL,MARLBOROUGH,MIDDLESEX COUNTY,25 UNION STREET,MARLBOROUGH,MA,1752,,5084603502,21,Suburb: Large,No,ñ,Yes,No,1365.0,100.14,13.6,505.0,113.0
250711001062,1630016,2507110,163,KG,5,A DREWICZ ELEMENTARY,LYNN,ESSEX COUNTY,34 HOOD STREET,LYNN,MA,1905,2330,7814777350,21,Suburb: Large,No,ñ,Yes,Yes,426.0,35.03,12.2,343.0,38.0
250861001356,2070005,2508610,207,KG,5,A E ANGIER,NEWTON,MIDDLESEX COUNTY,1697 BEACON STREET,WABAN,MA,2468,1314,6175599300,13,City: Small,No,ñ,No,Ü,393.0,19.81,19.8,19.0,2.0
250271501078,6220015,2502715,622,4,5,A F MALONEY,BLACKSTONE-MILLVILLE,WORCESTER COUNTY,200 LINCOLN STREET,BLACKSTONE,MA,1504,1200,5088760119,21,Suburb: Large,No,ñ,Yes,No,230.0,16.44,14.0,52.0,12.0
251005001619,2480003,2510050,248,KG,5,A. C. WHELAN ELEMENTARY SCHOOL,REVERE,SUFFOLK COUNTY,107 NEWHALL STREET,REVERE,MA,2151,2326,7813887510,21,Suburb: Large,No,ñ,Yes,Yes,746.0,47.46,15.7,410.0,77.0
250219000097,160001,2502190,16,KG,4,A. IRVIN STUDLEY ELEMENTARY SCHOOL,ATTLEBORO,BRISTOL COUNTY,299 RATHBUN WILLARD DRIVE,ATTLEBORO,MA,2703,2710,5082222621,21,Suburb: Large,No,ñ,Yes,Yes,427.0,28.69,14.9,159.0,24.0
251266000163,3260004,2512660,326,3,5,ABBOT ELEMENTARY,WESTFORD,MIDDLESEX COUNTY,25 DEPOT STREET,WESTFORD,MA,1886,2698,9786925580,21,Suburb: Large,No,ñ,No,Ü,430.0,27.59,15.6,16.0,2.0
250492000706,980005,2504920,98,PK,8,ABBOTT MEMORIAL,FLORIDA,BERKSHIRE COUNTY,56 NORTH COUNTY RD,FLORIDA,MA,1247,9614,4136646023,41,Rural: Fringe,No,ñ,Yes,No,104.0,11.43,9.1,34.0,5.0
250005101247,4450105,2500051,445,KG,12,ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),WORCESTER COUNTY,10 NEW BOND STREET,WORCESTER,MA,1606,,5088548400,12,City: Midsize,Yes,ñ,Yes,Yes,1426.0,111.9,12.7,635.0,230.0
251284002607,3360310,2512840,336,5,7,ABIGAIL ADAMS MIDDLE SCHOOL,WEYMOUTH,NORFOLK COUNTY,89 MIDDLE STREET,EAST WEYMOUTH,MA,2189,1359,7813351100,21,Suburb: Large,No,ñ,Yes,No,1030.0,61.29,16.8,279.0,64.0
250165000001,10505,2501650,1,9,12,ABINGTON HIGH,ABINGTON,PLYMOUTH COUNTY,201 GLINIEWICZ WAY,ABINGTON,MA,2351,1999,7819822160,21,Suburb: Large,No,ñ,No,Ü,513.0,38.87,13.2,52.0,12.0
251263002061,3250020,2512630,325,KG,5,ABNER GIBBS,WESTFIELD,HAMPDEN COUNTY,50 WEST SILVER STREET,WESTFIELD,MA,1085,3899,4135726418,21,Suburb: Large,No,ñ,Yes,Yes,197.0,17.0,11.6,84.0,18.0
250711001061,1630011,2507110,163,KG,5,ABORN,LYNN,ESSEX COUNTY,409 EASTERN AVENUE,LYNN,MA,1902,1671,7814777320,21,Suburb: Large,No,ñ,Yes,Yes,243.0,14.51,16.7,120.0,16.0
251005001618,2480025,2510050,248,PK,5,ABRAHAM LINCOLN,REVERE,SUFFOLK COUNTY,68 TUCKERMAN STREET,REVERE,MA,2151,2335,7812868270,21,Suburb: Large,No,ñ,Yes,Yes,603.0,34.78,17.3,354.0,56.0
250702001023,1600020,2507020,160,PK,4,ABRAHAM LINCOLN,LOWELL,MIDDLESEX COUNTY,300 CHELMSFORD STREET,LOWELL,MA,1851,3309,9789372846,21,Suburb: Large,No,ñ,Yes,Yes,495.0,35.0,14.1,378.0,47.0
250843001318,2010095,2508430,201,KG,5,ABRAHAM LINCOLN,NEW BEDFORD,BRISTOL COUNTY,445 ASHLEY BLVD,NEW BEDFORD,MA,2745,5213,5089974511,13,City: Small,No,ñ,Yes,Yes,717.0,38.09,18.8,482.0,34.0
